Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability;XRRigPosition;CameraPosition;GazeHitObject;GazeHitPosition
159499663;1001057801065746106;63787799349687;(-3.335, 0.867, 3.362);(-0.019, -0.634, -0.012, 0.773);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
159499685;1001057801175770317;63787799349688;(-3.335, 0.867, 3.362);(-0.019, -0.634, -0.012, 0.773);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
159499704;1001057801270791026;63787799349688;(-3.335, 0.867, 3.362);(-0.019, -0.634, -0.012, 0.773);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
159499726;1001057801380878863;63787799349688;(-3.335, 0.867, 3.362);(-0.019, -0.634, -0.012, 0.773);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
159499745;1001057801475884108;63787799349688;(-3.335, 0.867, 3.362);(-0.019, -0.634, -0.012, 0.773);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
159499763;1001057801565890093;63787799349717;(-3.335, 0.866, 3.362);(-0.019, -0.634, -0.012, 0.773);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
159499785;1001057801675904916;63787799349828;(-3.335, 0.866, 3.363);(-0.018, -0.634, -0.012, 0.773);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
159499804;1001057801770984985;63787799349940;(-3.335, 0.866, 3.363);(-0.018, -0.634, -0.012, 0.773);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
159499826;1001057801881068845;63787799350040;(-3.335, 0.866, 3.364);(-0.018, -0.634, -0.012, 0.773);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
159499845;1001057801976069013;63787799350129;(-3.335, 0.866, 3.364);(-0.018, -0.634, -0.012, 0.773);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
159499863;1001057802066070085;63787799350218;(-3.335, 0.866, 3.364);(-0.018, -0.634, -0.012, 0.773);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
159499885;1001057802176072804;63787799350329;(-3.335, 0.866, 3.364);(-0.018, -0.634, -0.012, 0.773);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
159499904;1001057802271145480;63787799350441;(-3.335, 0.866, 3.363);(-0.018, -0.634, -0.012, 0.773);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
159499926;1001057802381224568;63787799350542;(-3.335, 0.866, 3.364);(-0.018, -0.634, -0.012, 0.773);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
159499945;1001057802476287419;63787799350629;(-3.335, 0.865, 3.366);(-0.018, -0.634, -0.012, 0.773);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
