
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/1/2022 1:02:51 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/1/2022 1:03:22 PM;;;;;;;
7/1/2022 1:03:42 PM;0;1;R1L3_Church;R1L1_Bridge;(0.819, 0.000, 0.574);(0.829, 0.000, 0.557);1.116
7/1/2022 1:03:44 PM;1;2;R1L3_Church;R1L2_Skyscraper1;(0.819, 0.000, 0.574);(0.976, 0.000, 0.214);22.628
7/1/2022 1:03:48 PM;2;3;R1L3_Church;R1L4_GasStation;(-0.747, 0.000, 0.665);(-0.906, 0.000, 0.423);16.656
7/1/2022 1:03:51 PM;3;4;R1L3_Church;R1L5_BasketballCourt;(-0.747, 0.000, 0.665);(-0.828, 0.000, 0.560);7.606
7/1/2022 1:04:00 PM;4;5;R1L3_Church;R1L6_SkyScraper2;(-0.311, 0.000, 0.933);(-0.514, 0.000, 0.857);12.512
7/1/2022 1:04:06 PM;5;6;R1L3_Church;R1L7_FoodMart;(0.164, 0.000, 0.986);(0.131, 0.000, 0.991);1.874
7/1/2022 1:04:18 PM;6;8;R1L7_FoodMart;R1L1_Bridge;(0.912, 0.000, -0.409);(0.883, 0.000, -0.470);3.898
7/1/2022 1:04:20 PM;7;9;R1L7_FoodMart;R1L2_Skyscraper1;(0.912, 0.000, -0.409);(0.618, 0.000, -0.786);27.683
7/1/2022 1:04:22 PM;8;10;R1L7_FoodMart;R1L3_Church;(-0.169, 0.000, -0.982);(-0.088, 0.000, -0.996);4.702
7/1/2022 1:04:28 PM;9;11;R1L7_FoodMart;R1L4_GasStation;(-0.732, 0.000, -0.681);(-1.000, 0.000, 0.019);44.002
7/1/2022 1:04:30 PM;10;12;R1L7_FoodMart;R1L5_BasketballCourt;(-0.732, 0.000, -0.681);(-0.932, 0.000, 0.359);64.005
7/1/2022 1:04:34 PM;11;13;R1L7_FoodMart;R1L6_SkyScraper2;(-0.568, 0.000, 0.769);(-0.664, 0.000, 0.748);5.152
7/1/2022 1:04:44 PM;12;15;R1L1_Bridge;R1L2_Skyscraper1;(-0.705, 0.000, 0.684);(-0.892, 0.000, -0.451);70.945
7/1/2022 1:04:47 PM;13;16;R1L1_Bridge;R1L3_Church;(-0.711, 0.000, -0.698);(-0.930, 0.000, -0.366);23.002
7/1/2022 1:04:51 PM;14;17;R1L1_Bridge;R1L4_GasStation;(-0.994, 0.000, -0.106);(-0.982, 0.000, -0.188);4.711
7/1/2022 1:05:01 PM;15;18;R1L1_Bridge;R1L5_BasketballCourt;(-0.994, 0.000, -0.106);(-0.996, 0.000, 0.091);11.320
7/1/2022 1:05:06 PM;16;19;R1L1_Bridge;R1L6_SkyScraper2;(-0.705, 0.000, 0.684);(-0.797, 0.000, 0.602);7.054
7/1/2022 1:05:08 PM;17;20;R1L1_Bridge;R1L7_FoodMart;(-0.840, 0.000, 0.539);(-0.891, 0.000, 0.453);5.754
7/1/2022 1:05:17 PM;18;22;R1L5_BasketballCourt;R1L1_Bridge;(0.996, 0.000, -0.090);(0.969, 0.000, -0.247);9.116
7/1/2022 1:05:19 PM;19;23;R1L5_BasketballCourt;R1L2_Skyscraper1;(0.996, 0.000, -0.090);(0.916, 0.000, -0.399);18.374
7/1/2022 1:05:21 PM;20;24;R1L5_BasketballCourt;R1L3_Church;(0.733, 0.000, -0.677);(0.747, 0.000, -0.664);1.087
7/1/2022 1:05:24 PM;21;25;R1L5_BasketballCourt;R1L4_GasStation;(0.922, 0.000, -0.388);(0.837, 0.000, -0.547);10.345
7/1/2022 1:05:28 PM;22;26;R1L5_BasketballCourt;R1L6_SkyScraper2;(0.527, 0.000, 0.807);(0.578, 0.000, 0.816);2.155
7/1/2022 1:05:33 PM;23;27;R1L5_BasketballCourt;R1L7_FoodMart;(0.995, 0.000, 0.095);(0.993, 0.000, 0.120);1.455
7/1/2022 1:05:44 PM;24;29;R1L4_GasStation;R1L1_Bridge;(0.987, 0.000, 0.161);(0.898, 0.000, 0.440);16.873
7/1/2022 1:05:46 PM;25;30;R1L4_GasStation;R1L2_Skyscraper1;(0.987, 0.000, 0.161);(0.999, 0.000, 0.031);7.462
7/1/2022 1:05:50 PM;26;31;R1L4_GasStation;R1L3_Church;(0.300, 0.000, -0.943);(0.198, 0.000, -0.980);6.249
7/1/2022 1:05:54 PM;27;32;R1L4_GasStation;R1L5_BasketballCourt;(0.300, 0.000, -0.943);(-0.817, 0.000, 0.576);142.863
7/1/2022 1:05:58 PM;28;33;R1L4_GasStation;R1L6_SkyScraper2;(-0.164, 0.000, 0.959);(-0.433, 0.000, 0.901);15.999
7/1/2022 1:06:08 PM;29;34;R1L4_GasStation;R1L7_FoodMart;(0.699, 0.000, 0.713);(0.768, 0.000, 0.640);5.795
7/1/2022 1:06:16 PM;30;36;R1L2_Skyscraper1;R1L1_Bridge;(0.812, 0.000, 0.584);(0.861, 0.000, 0.509);5.136
7/1/2022 1:06:19 PM;31;37;R1L2_Skyscraper1;R1L3_Church;(-0.702, 0.000, -0.703);(-0.585, 0.000, -0.810);9.117
7/1/2022 1:06:21 PM;32;38;R1L2_Skyscraper1;R1L4_GasStation;(-0.996, 0.000, 0.093);(-0.999, 0.000, -0.044);7.852
7/1/2022 1:06:26 PM;33;39;R1L2_Skyscraper1;R1L5_BasketballCourt;(-0.996, 0.000, 0.093);(-0.891, 0.000, 0.452);21.530
7/1/2022 1:06:30 PM;34;40;R1L2_Skyscraper1;R1L6_SkyScraper2;(-0.579, 0.000, 0.794);(-0.676, 0.000, 0.736);6.513
7/1/2022 1:06:35 PM;35;41;R1L2_Skyscraper1;R1L7_FoodMart;(-0.496, 0.000, 0.866);(-0.671, 0.000, 0.741);12.325
7/1/2022 1:06:44 PM;36;43;R1L6_SkyScraper2;R1L1_Bridge;(0.846, 0.000, -0.533);(0.846, 0.000, -0.534);0.044
7/1/2022 1:06:46 PM;37;44;R1L6_SkyScraper2;R1L2_Skyscraper1;(0.846, 0.000, -0.533);(0.724, 0.000, -0.690);11.390
7/1/2022 1:06:49 PM;38;45;R1L6_SkyScraper2;R1L3_Church;(0.318, 0.000, -0.947);(0.578, 0.000, -0.816);16.762
7/1/2022 1:06:52 PM;39;46;R1L6_SkyScraper2;R1L4_GasStation;(0.254, 0.000, -0.967);(0.700, 0.000, -0.714);29.739
7/1/2022 1:06:57 PM;40;47;R1L6_SkyScraper2;R1L5_BasketballCourt;(0.254, 0.000, -0.967);(-0.925, 0.000, -0.380);82.363
7/1/2022 1:07:03 PM;41;48;R1L6_SkyScraper2;R1L7_FoodMart;(0.807, 0.000, -0.590);(0.976, 0.000, -0.216);23.652
