
Time;Landmark_name;Landmark_viewPos
7/15/2022 2:14:30 PM;;
7/15/2022 2:16:42 PM;R2L1_Bridge;(0.877, 0.447, 0.917)
7/15/2022 2:16:42 PM;R2L2_Billboard;(0.682, 0.454, 0.934)
7/15/2022 2:16:42 PM;R2L3_Church;(0.675, 0.743, 0.970)
7/15/2022 2:16:42 PM;R2L4_FireStation;(0.531, 0.618, 0.954)
7/15/2022 2:16:42 PM;R2L5_SkyScraper1;(0.268, 0.622, 0.959)
7/15/2022 2:16:42 PM;R2L6_LionStatue;(0.368, 0.446, 0.920)
7/15/2022 2:16:42 PM;R2L7_SkyScraper2;(0.551, 0.344, 0.952)
Time;Landmark_name;Landmark_viewPos
7/16/2022 5:19:56 PM;;
