Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;XRRigPosition;CameraGlobalPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability;GazeHitObject;GazeHitPosition
5835215;1000114070231741807;63789618776872;(-0.499, 1.634, 2.902);(-0.008, 0.999, -0.012, 0.039);(0.000, 0.000, 0.000);(-0.499, 1.634, 2.902);(0.078, -0.023, -0.997);VALID;(-0.333, -0.035, 0.942);(0.000, 0.000, 0.000);VALID;(-0.295, -0.029, 0.955);(-0.034, 0.000, 0.000);0.05497461;INVALID;;;;2;0;Distance Text Near;(-0.380, 1.630, 2.614)
5835216;1000114070236745460;63789618776872;(-0.499, 1.634, 2.902);(-0.008, 0.999, -0.012, 0.039);(0.000, 0.000, 0.000);(-0.499, 1.634, 2.902);(0.078, -0.023, -0.997);VALID;(-0.277, -0.136, 0.951);(0.000, 0.000, 0.000);VALID;(-0.258, -0.133, 0.957);(-0.034, 0.000, 0.000);0.05335803;INVALID;;;;2;0;Distance Text Near;(-0.380, 1.630, 2.614)
5835217;1000114070241745665;63789618776872;(-0.499, 1.634, 2.902);(-0.008, 0.999, -0.012, 0.039);(0.000, 0.000, 0.000);(-0.499, 1.634, 2.902);(0.078, -0.023, -0.997);INVALID;;;INVALID;;;;INVALID;;;;;;;
5835218;1000114070246745895;63789618776872;(-0.499, 1.634, 2.902);(-0.008, 0.999, -0.012, 0.039);(0.000, 0.000, 0.000);(-0.499, 1.634, 2.902);(0.078, -0.023, -0.997);INVALID;;;INVALID;;;;INVALID;;;;;;;
5835219;1000114070251746122;63789618776872;(-0.499, 1.634, 2.902);(-0.008, 0.999, -0.012, 0.039);(0.000, 0.000, 0.000);(-0.499, 1.634, 2.902);(0.078, -0.023, -0.997);INVALID;;;INVALID;;;;INVALID;;;;;;;
5835220;1000114070256746349;63789618776872;(-0.499, 1.634, 2.902);(-0.008, 0.999, -0.012, 0.039);(0.000, 0.000, 0.000);(-0.499, 1.634, 2.902);(0.078, -0.023, -0.997);INVALID;;;INVALID;;;;INVALID;;;;;;;
5835221;1000114070261746575;63789618776872;(-0.499, 1.634, 2.902);(-0.008, 0.999, -0.012, 0.039);(0.000, 0.000, 0.000);(-0.499, 1.634, 2.902);(0.078, -0.023, -0.997);INVALID;;;INVALID;;;;INVALID;;;;;;;
5835222;1000114070266746801;63789618776872;(-0.499, 1.634, 2.902);(-0.008, 0.999, -0.012, 0.039);(0.000, 0.000, 0.000);(-0.499, 1.634, 2.902);(0.078, -0.023, -0.997);INVALID;;;INVALID;;;;INVALID;;;;;;;
5835223;1000114070271747028;63789618776872;(-0.499, 1.634, 2.902);(-0.008, 0.999, -0.012, 0.039);(0.000, 0.000, 0.000);(-0.499, 1.634, 2.902);(0.078, -0.023, -0.997);INVALID;;;INVALID;;;;INVALID;;;;;;;
5835224;1000114070276747256;63789618776872;(-0.499, 1.634, 2.902);(-0.008, 0.999, -0.012, 0.039);(0.000, 0.000, 0.000);(-0.499, 1.634, 2.902);(0.078, -0.023, -0.997);INVALID;;;INVALID;;;;INVALID;;;;;;;
