Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;XRRigPosition;CameraGlobalPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability;GazeHitObject;GazeHitPosition
5860013;1000114194268596466;63789618900910;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.046, -0.006, 0.999);(0.000, 0.000, 0.000);VALID;(0.026, -0.001, 1.000);(-0.034, 0.000, 0.000);0.06350438;VALID;(-0.103, -0.012, 0.995);(0.034, 0.000, 0.000);0.06326706;0.5173553;0;None;(0.000, 0.000, 0.000)
5860014;1000114194273600224;63789618900910;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.043, -0.006, 0.999);(0.000, 0.000, 0.000);VALID;(0.029, -0.001, 1.000);(-0.034, 0.000, 0.000);0.06344882;VALID;(-0.103, -0.011, 0.995);(0.034, 0.000, 0.000);0.0632846;0.504799;0;None;(0.000, 0.000, 0.000)
5860015;1000114194278603971;63789618900910;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.041, -0.006, 0.999);(0.000, 0.000, 0.000);VALID;(0.031, -0.001, 1.000);(-0.034, 0.000, 0.000);0.06342067;VALID;(-0.103, -0.011, 0.995);(0.034, 0.000, 0.000);0.06338944;0.4954485;0;None;(0.000, 0.000, 0.000)
5860016;1000114194283604352;63789618900910;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.039, -0.006, 0.999);(0.000, 0.000, 0.000);VALID;(0.033, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06341442;VALID;(-0.104, -0.010, 0.995);(0.034, 0.000, 0.000);0.06345604;0.4882784;0;None;(0.000, 0.000, 0.000)
5860017;1000114194288604867;63789618900910;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.038, -0.006, 0.999);(0.000, 0.000, 0.000);VALID;(0.034, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06335546;VALID;(-0.104, -0.009, 0.995);(0.034, 0.000, 0.000);0.06363012;0.483293;0;None;(0.000, 0.000, 0.000)
5860018;1000114194293605461;63789618900910;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.037, -0.005, 0.999);(0.000, 0.000, 0.000);VALID;(0.035, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06339106;VALID;(-0.105, -0.008, 0.994);(0.034, 0.000, 0.000);0.06365988;0.4775099;0;None;(0.000, 0.000, 0.000)
5860019;1000114194298606055;63789618900910;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.036, -0.005, 0.999);(0.000, 0.000, 0.000);VALID;(0.035, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06339117;VALID;(-0.106, -0.007, 0.994);(0.034, 0.000, 0.000);0.06370971;0.4734985;0;None;(0.000, 0.000, 0.000)
5860020;1000114194303606648;63789618900910;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.035, -0.005, 0.999);(0.000, 0.000, 0.000);VALID;(0.036, -0.001, 0.999);(-0.034, 0.000, 0.000);0.063411;VALID;(-0.106, -0.007, 0.994);(0.034, 0.000, 0.000);0.06378038;0.4708102;0;None;(0.000, 0.000, 0.000)
5860021;1000114194308607239;63789618900910;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.035, -0.004, 0.999);(0.000, 0.000, 0.000);VALID;(0.036, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06342235;VALID;(-0.106, -0.006, 0.994);(0.034, 0.000, 0.000);0.06381945;0.4703032;0;None;(0.000, 0.000, 0.000)
5860022;1000114194313607830;63789618900910;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.034, -0.004, 0.999);(0.000, 0.000, 0.000);VALID;(0.036, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06342669;VALID;(-0.106, -0.006, 0.994);(0.034, 0.000, 0.000);0.06380204;0.4701007;0;None;(0.000, 0.000, 0.000)
