
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/17/2022 4:24:29 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/17/2022 4:24:51 PM;;;;;;;
7/17/2022 4:25:11 PM;0;1;R1L6_SkyScraper2;R1L1_Bridge;(0.846, 0.000, -0.533);(0.821, 0.000, -0.570);2.550
7/17/2022 4:25:13 PM;1;2;R1L6_SkyScraper2;R1L2_Skyscraper1;(0.846, 0.000, -0.533);(0.737, 0.000, -0.674);10.238
7/17/2022 4:25:16 PM;2;3;R1L6_SkyScraper2;R1L3_Church;(0.318, 0.000, -0.947);(0.496, 0.000, -0.867);11.236
7/17/2022 4:25:42 PM;3;4;R1L6_SkyScraper2;R1L4_GasStation;(0.254, 0.000, -0.967);(-0.104, 0.000, -0.995);20.670
7/17/2022 4:25:45 PM;4;5;R1L6_SkyScraper2;R1L5_BasketballCourt;(0.254, 0.000, -0.967);(-0.867, 0.000, -0.498);74.840
7/17/2022 4:25:58 PM;5;6;R1L6_SkyScraper2;R1L7_FoodMart;(0.807, 0.000, -0.590);(0.954, 0.000, -0.295);18.982
7/17/2022 4:26:11 PM;6;8;R1L7_FoodMart;R1L1_Bridge;(0.912, 0.000, -0.409);(0.724, 0.000, -0.689);19.451
7/17/2022 4:26:14 PM;7;9;R1L7_FoodMart;R1L2_Skyscraper1;(0.912, 0.000, -0.409);(0.707, 0.000, -0.665);19.131
7/17/2022 4:26:16 PM;8;10;R1L7_FoodMart;R1L3_Church;(-0.169, 0.000, -0.982);(-0.116, 0.000, -0.993);3.102
7/17/2022 4:26:21 PM;9;11;R1L7_FoodMart;R1L4_GasStation;(-0.732, 0.000, -0.681);(-0.548, 0.000, -0.836);13.845
7/17/2022 4:26:23 PM;10;12;R1L7_FoodMart;R1L5_BasketballCourt;(-0.732, 0.000, -0.681);(-0.914, 0.000, -0.401);19.216
7/17/2022 4:26:28 PM;11;13;R1L7_FoodMart;R1L6_SkyScraper2;(-0.568, 0.000, 0.769);(-0.839, 0.000, 0.540);20.784
7/17/2022 4:27:01 PM;12;15;R1L5_BasketballCourt;R1L1_Bridge;(0.996, 0.000, -0.090);(0.525, 0.000, -0.851);53.166
7/17/2022 4:27:02 PM;13;16;R1L5_BasketballCourt;R1L2_Skyscraper1;(0.996, 0.000, -0.090);(0.396, 0.000, -0.918);61.515
7/17/2022 4:27:04 PM;14;17;R1L5_BasketballCourt;R1L3_Church;(0.733, 0.000, -0.677);(0.145, 0.000, -0.989);38.924
