Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability;XRRigPosition;CameraPosition;GazeHitObject;GazeHitPosition
1051381;1000006162167667822;63789510869397;(-3.298, 0.936, 3.425);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051400;1000006162262706369;63789510869398;(-3.298, 0.936, 3.425);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051422;1000006162372747440;63789510869398;(-3.298, 0.936, 3.425);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051441;1000006162467780783;63789510869398;(-3.298, 0.936, 3.425);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051460;1000006162562819840;63789510869398;(-3.298, 0.936, 3.425);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051481;1000006162667860140;63789510869443;(-3.298, 0.936, 3.425);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051500;1000006162762894297;63789510869537;(-3.298, 0.936, 3.424);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051522;1000006162872940862;63789510869648;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051541;1000006162967978074;63789510869736;(-3.297, 0.936, 3.425);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051559;1000006163058011268;63789510869825;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051581;1000006163168048479;63789510869935;(-3.298, 0.936, 3.425);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051600;1000006163263086451;63789510870037;(-3.296, 0.936, 3.425);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051622;1000006163373127323;63789510870148;(-3.297, 0.936, 3.425);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051641;1000006163468160391;63789510870237;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051659;1000006163558197268;63789510870325;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051681;1000006163668239215;63789510870436;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051700;1000006163763272910;63789510870536;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051722;1000006163873318576;63789510870648;(-3.297, 0.936, 3.425);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051741;1000006163968355278;63789510870736;(-3.297, 0.936, 3.424);(-0.008, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051759;1000006164058387897;63789510870825;(-3.297, 0.936, 3.424);(-0.008, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051781;1000006164168424743;63789510870936;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051800;1000006164263462477;63789510871037;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051822;1000006164373503233;63789510871148;(-3.297, 0.935, 3.426);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051841;1000006164468537290;63789510871236;(-3.297, 0.935, 3.427);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051859;1000006164558574069;63789510871324;(-3.297, 0.935, 3.426);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051881;1000006164668617350;63789510871436;(-3.297, 0.936, 3.425);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051900;1000006164763650933;63789510871536;(-3.297, 0.935, 3.425);(-0.008, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051922;1000006164873696096;63789510871648;(-3.297, 0.935, 3.426);(-0.008, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1051941;1000006164968733035;63789510871736;(-3.298, 0.935, 3.425);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
